Customer_Gender,F,,,Customer_Gender,M,,
,,,,,,,
Row Labels,Sum of Revenue,Sum of Year,,Row Labels,Sum of Cost,Sum of Profit,Sum of Year
Australia,"? 1,08,60,546","? 2,31,76,155",,Australia,"? 71,08,374.00","? 33,33,139.00","? 2,50,38,202.00"
Canada,"? 36,63,981","? 1,30,85,845",,Canada,"? 22,28,143.00","? 20,43,614.00","? 1,54,75,071.00"
France,"? 40,14,681","? 1,10,87,555",,France,"? 29,27,449.00","? 14,90,742.00","? 1,10,67,202.00"
Germany,"? 47,22,830","? 1,12,24,372",,Germany,"? 26,64,008.00","? 15,91,758.00","? 1,11,31,959.00"
United Kingdom,"? 52,86,307","? 1,35,20,770",,United Kingdom,"? 31,55,443.00","? 22,04,446.00","? 1,39,15,743.00"
United States,"? 1,33,87,254","? 3,81,40,303",,United States,"? 87,64,760.00","? 58,23,533.00","? 4,08,36,738.00"
Grand Total,"? 4,19,35,599","? 11,02,35,000",,Grand Total,"? 2,68,48,177.00","? 1,64,87,232.00","? 11,74,64,915.00"
